,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius,temperature_in_celsius
year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
country_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 AFG,12.883333333333333,12.549999999999999,13.508333333333333,11.866666666666667,12.741666666666667,13.058333333333335,12.441666666666663,12.466666666666663,12.424999999999999,13.375,13.366666666666667,11.333333333333336,12.866666666666667,12.041666666666664,12.250000000000002,12.416666666666666,13.408333333333333,13.016666666666666,12.891666666666667,13.225,13.258333333333335,12.208333333333336,13.108333333333334,12.700000000000001,13.266666666666666,12.649999999999999,13.424999999999999,13.908333333333331,12.591666666666667,13.441666666666668,12.841666666666667,12.516666666666666,12.958333333333336,13.050000000000002,12.983333333333334,12.725000000000001,12.75,13.391666666666666,14.041666666666666,13.725000000000001,13.966666666666667,13.808333333333335,13.316666666666665,14.108333333333334,13.324999999999998,14.100000000000001,13.700000000000001,13.833333333333334,13.875,14.175000000000002,13.725,13.133333333333335,14.066666666666663,13.516666666666666,13.850000000000001,14.391666666666667,14.016666666666666,14.441666666666665,13.758333333333331,13.141666666666666
 AGO,21.208333333333332,21.233333333333334,21.275000000000002,21.21666666666667,21.283333333333335,21.525000000000002,21.241666666666667,21.316666666666666,21.541666666666668,21.58333333333334,21.408333333333335,21.400000000000002,21.633333333333336,21.2,21.36666666666667,21.13333333333333,21.608333333333334,21.383333333333336,21.633333333333336,21.575000000000003,21.466666666666665,21.5,21.84166666666667,21.808333333333334,21.708333333333332,21.558333333333334,22.09166666666667,21.833333333333332,21.608333333333334,21.8,21.63333333333333,21.8,21.65833333333333,21.724999999999998,22.058333333333334,21.816666666666666,21.96666666666667,22.241666666666664,21.7,21.76666666666667,21.966666666666665,22.058333333333334,22.15833333333333,21.866666666666664,22.291666666666668,21.650000000000002,21.63333333333333,21.575,21.833333333333332,21.98333333333333,21.566666666666666,21.583333333333332,21.658333333333335,21.63333333333333,21.766666666666666,22.041666666666668,21.900000000000002,21.725000000000005,21.88333333333333,21.775000000000002
 ALB,11.800000000000002,11.475000000000001,11.516666666666666,11.091666666666667,10.933333333333332,11.741666666666665,11.199999999999998,11.291666666666666,11.100000000000001,11.191666666666665,11.083333333333334,11.149999999999999,10.924999999999999,10.958333333333334,11.025,10.475000000000001,11.525,10.633333333333333,11.475000000000001,10.6,11.04166666666667,11.425000000000002,11.058333333333335,10.875,11.158333333333333,11.341666666666667,11.208333333333336,11.55833333333333,11.158333333333337,11.875,10.825000000000001,11.433333333333335,11.35,12.333333333333334,11.175000000000002,10.966666666666667,11.183333333333335,11.791666666666666,12.041666666666666,12.358333333333333,12.058333333333335,12.158333333333333,11.958333333333334,11.708333333333334,11.225000000000001,11.674999999999999,12.333333333333334,12.450000000000001,12.275,12.208333333333334,11.991666666666665,12.491666666666667,12.483333333333333,12.533333333333333,12.458333333333334,12.533333333333331,12.341666666666667,13.024999999999999,12.933333333333335,12.691666666666668
 AND,8.833333333333334,7.675000000000001,7.3,8.15,7.7749999999999995,8.333333333333334,8.250000000000002,8.133333333333331,7.583333333333333,8.1,7.875000000000001,7.5583333333333345,7.933333333333334,7.883333333333334,7.916666666666667,8.016666666666666,7.924999999999998,7.758333333333334,8.075,7.508333333333333,8.191666666666666,8.825000000000001,8.458333333333334,7.608333333333332,7.800000000000001,8.133333333333333,8.133333333333335,8.475,9.174999999999999,9.1,8.275,8.341666666666667,8.125,9.358333333333334,9.208333333333332,8.583333333333334,9.708333333333334,8.958333333333334,9.166666666666666,9.375,9.058333333333334,9.25,9.549999999999999,8.975,8.533333333333333,9.591666666666667,8.958333333333334,8.85,9.358333333333333,8.258333333333333,9.725,9.091666666666667,8.758333333333333,9.941666666666666,9.716666666666667,9.6,9.508333333333331,9.891666666666667,9.791666666666666,9.975
 ARE,26.75,27.158333333333335,27.116666666666664,26.25,26.99166666666667,27.099999999999998,26.566666666666663,26.624999999999996,27.291666666666668,27.25,26.641666666666666,26.191666666666666,26.79166666666666,26.633333333333336,26.650000000000006,26.566666666666666,27.39166666666667,27.15833333333333,27.299999999999997,27.3,27.25833333333333,26.46666666666667,26.46666666666667,26.749999999999996,26.875,26.775000000000002,27.099999999999994,27.2,26.500000000000004,27.108333333333338,26.774999999999995,26.2,27.066666666666666,27.275000000000002,27.033333333333335,27.175,26.91666666666666,27.966666666666672,27.974999999999998,27.591666666666672,27.75833333333333,27.625,27.674999999999997,27.816666666666666,27.449999999999992,27.683333333333326,27.825000000000003,27.525000000000002,27.875,28.316666666666663,27.683333333333337,27.833333333333332,27.616666666666664,27.724999999999998,28.100000000000005,28.133333333333336,28.09166666666667,28.208333333333332,28.108333333333338,27.866666666666664
 ARG,14.300000000000002,14.249999999999998,14.133333333333335,13.750000000000002,14.241666666666667,14.058333333333332,14.375,14.516666666666667,14.583333333333334,14.533333333333333,13.950000000000001,14.100000000000001,13.916666666666666,13.94166666666667,14.200000000000001,13.666666666666666,14.574999999999998,14.450000000000001,14.291666666666666,14.524999999999999,14.44166666666667,14.483333333333334,14.200000000000001,13.6,14.566666666666668,14.558333333333332,14.499999999999998,14.066666666666668,14.783333333333333,14.425000000000004,14.383333333333335,14.033333333333333,14.391666666666666,14.933333333333332,14.375000000000002,14.408333333333333,14.758333333333333,14.508333333333335,14.241666666666669,13.866666666666665,14.5,14.249999999999998,14.649999999999999,14.649999999999997,14.291666666666666,14.799999999999997,13.875,14.741666666666667,14.775000000000004,14.300000000000002,14.591666666666667,14.924999999999999,14.799999999999997,14.766666666666667,14.90833333333333,14.450000000000001,14.95833333333333,14.666666666666666,14.649999999999999,14.933333333333335
 ARM,7.05,7.575,6.783333333333332,5.433333333333334,5.966666666666666,8.433333333333332,5.733333333333334,6.550000000000001,5.8999999999999995,7.45,6.566666666666666,5.091666666666666,5.466666666666666,5.6833333333333345,6.325,5.7749999999999995,6.141666666666668,6.616666666666666,7.599999999999999,6.791666666666667,7.266666666666668,5.575,6.224999999999999,6.391666666666668,6.283333333333334,6.7,6.608333333333332,6.158333333333332,7.175,6.616666666666666,6.583333333333333,4.991666666666667,5.316666666666666,6.416666666666665,7.033333333333334,7.133333333333334,6.483333333333332,7.608333333333334,7.675000000000001,7.224999999999999,7.858333333333334,6.783333333333332,6.816666666666666,7.0,7.041666666666667,7.266666666666667,6.650000000000001,6.949999999999999,7.091666666666668,8.850000000000001,6.433333333333334,7.533333333333332,7.108333333333333,7.908333333333334,7.724999999999999,7.141666666666666,7.375,8.675,7.941666666666666,7.75
 ATG,25.733333333333334,25.78333333333333,25.925,25.791666666666668,25.66666666666667,25.86666666666667,25.625,25.700000000000003,26.174999999999997,26.00833333333333,25.65833333333333,25.875,25.949999999999992,25.616666666666664,25.63333333333333,25.508333333333326,26.025000000000006,26.13333333333333,26.125000000000004,26.516666666666666,26.483333333333334,26.125,26.708333333333332,26.14166666666667,26.066666666666663,26.21666666666667,26.774999999999995,26.408333333333335,26.09166666666667,26.391666666666666,26.46666666666667,26.366666666666664,26.625,26.416666666666668,26.583333333333332,26.316666666666666,26.433333333333334,26.866666666666664,26.383333333333336,26.200000000000003,26.599999999999998,26.683333333333334,26.64166666666667,26.366666666666664,26.766666666666662,26.575000000000003,26.549999999999994,26.224999999999998,26.683333333333334,26.958333333333332,26.533333333333335,26.70833333333333,26.733333333333334,26.75833333333333,26.941666666666663,26.925,26.791666666666668,26.458333333333332,26.849999999999998,26.883333333333336
